id,name,ownerid,age,livesleft,description
1,Buster,595661,4,6,fluffy
2,Tiger,561315,1,4,work of art
3,Lucy,475093,7,1,fat
4,Pepper,570197,14,3,work of art
5,Tiger,557428,19,2,amazing
6,Molly,681083,8,6,the best
7,Precious,681266,16,8,lovely
8,Nala,525403,10,6,cute
9,Misty,570093,14,4,amazing
10,Pumpkin,465740,7,4,sweetheart
11,Cookie,643512,5,3,work of art
12,Baby,651066,9,5,fluffy
13,Maggie,721979,22,3,asshole
14,Bella,499525,22,1,lovely
15,Jasper,552783,12,2,fluffy
16,Sasha,670126,21,6,cute
17,Cuddles,607124,25,2,beautiful
18,Kiki,538719,4,3,fluffy
19,Sam,692776,9,1,fluffy
20,Casper,619171,25,3,cute
21,Simon,616112,20,2,lovely
22,Zoey,561869,21,2,asshole
23,Molly,683800,16,4,lovely
24,Harley,574967,2,7,asshole
25,Sadie,731020,15,9,lovely
26,Toby,527127,25,6,asshole
27,Boo,564117,12,9,fat
28,Mia,525169,5,4,the best
29,Jack,575442,4,3,cute
30,Tiger,511476,1,3,amazing
31,Charlie,646722,20,2,fluffy
32,Oscar,506459,13,6,amazing
33,Gizmo,571701,20,8,the best
34,Shadow,522877,10,9,fluffy
35,Snowball,550444,12,8,fat
36,Nala,482895,3,4,cute
37,Bob,483099,6,4,fluffy
38,Bear,562678,4,4,fluffy
39,Jasper,675505,25,6,amazing
40,Pumpkin,678251,15,8,lovely
41,Oliver,686311,8,5,cute
42,Bailey,698665,21,3,lovely
43,Bubba,642570,10,7,work of art
44,Bob,547558,16,8,the best
45,Garfield,667514,23,7,amazing
46,Boots,596147,20,9,lovely
47,Socks,670717,25,6,lovely
48,Boots,650821,15,4,cute
49,Boots,629302,13,3,the best
50,Bubba,620264,6,6,fat
51,Tigger,616225,25,4,beautiful
52,Kiki,716889,21,6,work of art
53,Lucky,483549,3,6,the best
54,Daisy,632368,18,4,amazing
55,Cuddles,653071,25,8,work of art
56,Miss kitty,746255,3,5,fat
57,Milo,716582,6,6,work of art
58,Toby,524489,25,8,fluffy
59,Oreo,551103,1,7,lovely
60,Chester,672371,23,9,the best
61,Snowball,493796,24,3,the best
62,Bailey,491780,7,5,cute
63,Nala,719592,2,8,work of art
64,Cleo,719344,15,9,work of art
65,Princess,613944,22,4,sweetheart
66,Midnight,521257,23,6,amazing
67,Sugar,553773,4,7,sweetheart
68,Snickers,657997,23,2,amazing
69,Toby,651887,20,9,cute
70,Sugar,554891,17,2,amazing
71,Charlie,478354,24,4,sweetheart
72,Luna,577951,24,4,beautiful
73,Bandit,684135,9,6,asshole
74,Chester,617430,7,4,asshole
75,Kiki,723507,2,4,sweetheart
76,Charlie,618764,7,1,fluffy
77,Sasha,698023,15,3,beautiful
78,Bella,613933,9,2,cute
79,Jack,517602,23,8,fluffy
80,Bailey,560260,20,8,the best
81,Tigger,681036,24,4,cute
82,Scooter,604677,14,5,fat
83,Simon,552770,2,6,work of art
84,Sassy,746877,5,3,lovely
85,Spooky,698079,19,1,lovely
86,Scooter,599698,18,4,asshole
87,Ginger,741595,1,7,asshole
88,Lucy,465932,15,3,sweetheart
89,Dusty,524982,6,8,the best
90,Cali,730722,22,8,beautiful
91,Tinkerbell,563826,7,8,fluffy
92,Trouble,702731,6,9,amazing
93,Baby,501502,12,3,asshole
94,Annie,740913,9,9,cute
95,Lola,499755,15,4,asshole
96,Abby,541818,14,9,fluffy
97,Bailey,618157,14,2,work of art
98,Sophie,570680,5,1,asshole
99,Snickers,585555,9,4,the best
100,Willow,602111,2,1,fat
101,Spooky,599671,19,4,sweetheart
102,Gracie,670837,21,1,fat
103,Daisy,724519,16,7,beautiful
104,Gizmo,542606,5,5,fat
105,Snuggles,722219,6,6,fluffy
106,Baby,721904,16,9,amazing
107,Princess,642808,21,3,sweetheart
108,Mittens,612527,25,3,the best
109,Mimi,670270,22,3,beautiful
110,Zoe,511010,23,8,asshole
111,Scooter,680829,12,8,fat
112,Bob,676826,7,6,fluffy
113,Sadie,722575,15,3,the best
114,Cali,551167,8,4,fat
115,Sadie,624029,13,3,work of art
116,Kitty,666530,2,4,amazing
117,Bella,653436,3,2,sweetheart
118,Mimi,601557,20,2,the best
119,Snuggles,533823,13,2,beautiful
120,Mimi,545349,4,9,cute
121,Bella,464636,20,6,cute
122,Jasper,605294,17,8,cute
123,Willow,715864,2,9,sweetheart
124,Buddy,734081,6,5,amazing
125,Garfield,600285,20,5,the best
126,Molly,669439,20,7,sweetheart
127,Buddy,747036,22,5,work of art
128,Charlie,566942,9,4,fluffy
129,Daisy,725926,14,6,work of art
130,Boots,683425,25,7,fat
131,Rascal,556977,9,2,fat
132,Chester,709510,19,3,sweetheart
133,Mia,540897,8,3,beautiful
134,Princess,680377,1,3,fat
135,Toby,707756,20,8,amazing
136,Mittens,469783,15,2,the best
137,Lola,657538,12,9,the best
138,Baby,740675,18,4,cute
139,Socks,725209,18,3,asshole
140,Kitty,545557,13,5,sweetheart
141,Rocky,660317,5,6,work of art
142,Trouble,730584,13,2,cute
143,Bella,618425,15,4,amazing
144,Trouble,582884,20,4,sweetheart
145,Cuddles,733445,12,1,work of art
146,Boots,618074,4,4,asshole
147,Sammy,742726,2,7,work of art
148,Jasper,621254,5,7,fluffy
149,Charlie,683082,7,8,fluffy
150,Angel,713962,9,2,amazing
151,Leo,576526,25,2,amazing
152,Bandit,501082,2,5,amazing
153,Cookie,565285,22,2,amazing
154,Scooter,732313,21,5,work of art
155,Max,604698,21,4,beautiful
156,Boo,642508,17,3,lovely
157,Whiskers,496001,17,4,work of art
158,Jasmine,607826,16,5,amazing
159,Gracie,688653,25,1,work of art
160,Missy,584489,11,7,beautiful
161,Zoey,745762,14,3,the best
162,Snuggles,652479,6,5,sweetheart
163,Sheba,692684,17,3,amazing
164,Spooky,696603,17,4,fat
165,Leo,505864,24,2,sweetheart
166,Misty,488718,6,9,asshole
167,Missy,642713,10,7,fluffy
168,Nala,596008,24,1,asshole
169,Kitty,541525,4,2,beautiful
170,Molly,662128,8,4,amazing
171,Misty,665653,3,1,fluffy
172,Buster,482736,13,1,sweetheart
173,Annie,588725,11,7,asshole
174,Baby,718313,25,2,the best
175,Gizmo,499433,11,5,the best
176,Rascal,676446,8,9,sweetheart
177,Precious,705834,2,7,the best
178,Socks,602185,4,3,fat
179,Smokey,534988,24,6,the best
180,Jasper,710714,16,3,amazing
181,Fluffy,739218,8,4,fluffy
182,Cookie,604035,18,8,amazing
183,Scooter,712870,19,8,sweetheart
184,Midnight,493193,11,3,fat
185,Garfield,556130,6,7,asshole
186,Snuggles,746256,18,5,fluffy
187,Molly,714834,13,6,fluffy
188,Lilly,740688,15,8,beautiful
189,George,710536,25,4,fluffy
190,Bandit,715829,19,1,amazing
191,Lola,510318,16,6,beautiful
192,Ginger,475465,22,9,amazing
193,Charlie,486919,19,2,lovely
194,Garfield,522631,19,2,fluffy
195,Spooky,498435,25,7,beautiful
196,Kiki,566555,12,9,the best
197,Tiger,642783,17,5,fat
198,Chester,499115,12,1,lovely
199,Jack,711742,8,1,asshole
200,Scooter,463611,22,8,beautiful
201,Precious,547404,6,5,sweetheart
202,Mittens,536764,23,8,the best
203,Cookie,696599,13,4,work of art
204,Princess,498063,25,8,lovely
205,Peanut,623109,10,3,amazing
206,Leo,563480,15,4,sweetheart
207,Felix,576208,4,2,asshole
208,Snickers,580864,12,7,fat
209,Ginger,581293,6,5,lovely
210,Sasha,705499,1,7,work of art
211,Lucy,711095,5,4,fat
212,Leo,727252,13,9,fat
213,Fluffy,565201,6,6,beautiful
214,Oliver,525837,14,1,asshole
215,Garfield,608093,3,5,lovely
216,Kitty,566969,8,9,beautiful
217,Felix,476940,7,4,lovely
218,Sasha,701049,20,6,amazing
219,Chloe,645683,1,8,amazing
220,Garfield,598940,25,5,cute
221,Bear,479807,3,6,amazing
222,Ginger,476508,10,3,asshole
223,Zoe,586529,14,4,amazing
224,Cali,541982,1,3,the best
225,Sassy,560006,15,8,cute
226,Cuddles,689646,14,5,fat
227,Sammy,571688,2,7,fluffy
228,Pumpkin,712377,13,8,amazing
229,Misty,614089,19,6,cute
230,Sophie,685894,14,4,fluffy
231,Lilly,612212,10,1,work of art
232,Sam,609751,7,9,fluffy
233,Abby,733681,12,8,asshole
234,Tiger,552137,1,4,the best
235,Lily,679764,2,7,cute
236,Sugar,466701,4,6,sweetheart
237,Lilly,653675,3,7,fat
238,Max,682132,22,5,cute
239,George,614051,5,9,the best
240,Lucy,747985,13,4,sweetheart
241,Oliver,532967,17,2,amazing
242,Lilly,602610,14,7,amazing
243,Mia,663036,16,5,work of art
244,Shadow,465926,7,2,fat
245,Salem,681611,10,6,fluffy
246,Lucy,537289,22,6,asshole
247,Jasmine,718335,13,5,fat
248,Peanut,488190,19,4,amazing
249,Smokey,683872,21,7,beautiful
250,Fluffy,604476,19,4,lovely
251,Peanut,565823,1,2,the best
252,Tinkerbell,546787,6,3,amazing
253,Callie,674687,22,5,asshole
254,Zoey,473694,24,2,work of art
255,Willow,673616,3,1,fluffy
256,Sadie,671348,9,8,asshole
257,Bubba,647901,14,3,fat
258,Harley,502677,4,8,cute
259,Jack,666123,15,6,cute
260,Bubba,471180,20,9,cute
261,Sasha,564960,12,2,fat
262,Casper,553324,3,1,cute
263,Charlie,605308,21,7,cute
264,Sheba,474796,5,9,beautiful
265,Lola,510488,18,6,amazing
266,Dusty,717210,19,3,beautiful
267,Buddy,532556,5,8,fluffy
268,Sadie,728296,11,4,work of art
269,Cali,485656,8,8,fat
270,Sophie,676449,11,9,fluffy
271,Mittens,466508,18,8,lovely
272,Chloe,739165,25,1,work of art
273,Lucky,483466,15,5,amazing
274,Bandit,713893,11,7,beautiful
275,Muffin,708029,8,4,beautiful
276,Leo,571918,23,4,asshole
277,Mia,564616,24,4,asshole
278,Angel,702474,2,4,cute
279,Lucky,690542,3,4,cute
280,Gracie,591884,9,6,lovely
281,Tinkerbell,471519,23,7,sweetheart
282,Oreo,611138,14,4,fluffy
283,Lucky,586349,9,5,fat
284,Molly,634531,10,7,sweetheart
285,Lola,473942,5,7,beautiful
286,Sammy,673765,3,6,fat
287,Lily,702924,8,4,work of art
288,Maggie,712588,7,4,amazing
289,Nala,680045,10,7,asshole
290,Missy,499368,4,7,the best
291,Sassy,542982,1,4,the best
292,Tigger,565564,6,7,sweetheart
293,Tinkerbell,707703,17,9,lovely
294,Spooky,579174,20,3,amazing
295,Scooter,604216,20,4,amazing
296,Sassy,657691,24,3,the best
297,Mia,475120,20,1,the best
298,Sam,609511,9,9,amazing
299,Toby,544604,2,7,amazing
300,Bubba,478398,6,9,fluffy
301,Bailey,473424,6,6,sweetheart
302,Rascal,586241,9,9,sweetheart
303,Boo,681542,13,8,amazing
304,Angel,492637,22,7,the best
305,Buddy,577869,4,6,fat
306,Callie,647709,11,5,amazing
307,Mimi,577979,21,3,amazing
308,Molly,483775,3,9,the best
309,Lucy,533142,12,6,fat
310,Rocky,657481,20,3,the best
311,Trouble,560466,4,5,cute
312,Zoey,656898,3,1,amazing
313,George,629683,17,1,fat
314,Missy,597230,16,8,beautiful
315,Luna,490565,5,7,asshole
316,Snickers,712313,4,6,lovely
317,Max,672403,7,8,the best
318,Abby,593395,17,5,asshole
319,Midnight,503824,9,9,cute
320,Simon,463055,2,1,the best
321,Lola,487905,22,9,the best
322,Scooter,521238,5,7,the best
323,Patches,625224,6,6,amazing
324,Lucky,729901,4,8,lovely
325,Milo,463670,8,1,lovely
326,Molly,640814,13,4,work of art
327,Molly,531883,15,5,beautiful
328,Callie,612766,6,9,fluffy
329,Simon,708373,21,3,lovely
330,Jasmine,617030,6,2,fat
331,Sadie,537333,13,3,fluffy
332,Whiskers,531953,24,5,sweetheart
333,Kitty,505846,5,7,cute
334,Angel,680775,19,7,the best
335,Sugar,657609,16,4,amazing
336,Bandit,577344,6,9,sweetheart
337,Sophie,617859,24,6,lovely
338,Boots,542322,23,1,sweetheart
339,Tiger,539114,17,8,fluffy
340,Sasha,593761,14,9,sweetheart
341,Lucky,476874,10,6,fat
342,Harley,701774,13,9,cute
343,Snowball,469391,7,6,the best
344,Abby,737385,22,1,amazing
345,Leo,679877,20,2,cute
346,Cali,575686,18,8,asshole
347,Max,540937,3,7,the best
348,Rascal,540062,11,4,amazing
349,Spooky,480201,7,1,fluffy
350,Chloe,492873,21,4,amazing
351,Harley,654831,1,2,work of art
352,Jack,494964,20,4,cute
353,Rocky,601439,1,3,sweetheart
354,Coco,724308,23,7,fat
355,Coco,652250,23,7,lovely
356,Bear,560904,22,9,asshole
357,Ginger,463841,24,2,fluffy
358,Scooter,562417,23,5,the best
359,Tinkerbell,564389,6,2,cute
360,Felix,493272,13,6,asshole
361,Snowball,746511,11,9,amazing
362,Jasmine,564336,3,5,amazing
363,Rocky,617719,20,9,beautiful
364,Oscar,497127,10,1,cute
365,Jasper,548061,11,5,sweetheart
366,Mittens,667952,20,7,cute
367,Oliver,522532,3,1,lovely
368,Boo,716474,5,7,the best
369,Harley,739683,25,4,lovely
370,Boots,609932,7,9,sweetheart
371,Cookie,585033,11,4,asshole
372,Maggie,671538,13,5,fluffy
373,Sammy,727636,20,8,cute
374,Patches,568842,25,6,work of art
375,Spooky,483066,9,7,fat
376,Harley,515340,20,9,work of art
377,Snuggles,668796,9,2,lovely
378,Sasha,603169,17,7,sweetheart
379,Midnight,596191,22,8,cute
380,Lola,705693,6,6,fluffy
381,Snickers,717629,13,3,amazing
382,Kitty,703683,2,3,cute
383,Cali,491812,1,8,lovely
384,Gracie,719359,12,3,beautiful
385,Sugar,706406,14,9,lovely
386,Leo,520297,7,5,fluffy
387,Mimi,576140,11,1,amazing
388,Boots,617237,24,2,fat
389,Boots,487630,6,7,asshole
390,Trouble,652820,2,4,fluffy
391,Rascal,652649,4,8,cute
392,Sheba,682326,17,8,fat
393,Buddy,710350,14,5,the best
394,Charlie,597623,3,2,sweetheart
395,Bella,596328,13,9,fluffy
396,Bandit,734360,20,3,the best
397,Misty,495263,13,4,fluffy
398,Gracie,477959,4,8,work of art
399,Sophie,699232,20,7,amazing
400,Whiskers,470760,6,5,work of art
401,Toby,466576,14,4,cute
402,Lucy,472007,5,7,sweetheart
403,Mittens,473316,2,2,work of art
404,Tinkerbell,665764,3,7,fluffy
405,Sammy,679473,10,2,lovely
406,Chloe,741892,19,7,amazing
407,Princess,607744,9,8,work of art
408,Toby,533154,4,1,amazing
409,Trouble,466956,25,7,asshole
410,Mittens,524222,2,3,beautiful
411,Cleo,607212,13,2,cute
412,Cuddles,507253,13,5,cute
413,Trouble,705618,11,8,amazing
414,Willow,747623,25,3,amazing
415,Miss kitty,651920,20,6,fluffy
416,Garfield,552088,13,7,cute
417,Cookie,510780,15,3,fat
418,Oreo,604660,22,9,fat
419,Boots,524316,14,5,beautiful
420,Dusty,625592,1,3,lovely
421,Jasmine,522485,7,7,fat
422,Rascal,739887,2,5,sweetheart
423,Maggie,655852,14,9,fat
424,Samantha,512706,22,3,work of art
425,Snowball,666976,8,7,amazing
426,Shadow,664895,8,9,the best
427,Buster,564739,6,3,cute
428,Casper,551380,24,4,amazing
429,Smokey,466975,14,9,fat
430,Abby,517129,10,9,beautiful
431,Pumpkin,524839,16,6,sweetheart
432,Chester,502414,22,3,amazing
433,Princess,552209,14,4,fat
434,Tiger,559209,8,7,fluffy
435,Precious,614712,4,6,fat
436,Oreo,644007,18,2,fat
437,Miss kitty,634755,15,6,fluffy
438,Gracie,638633,21,1,amazing
439,Nala,653161,13,4,the best
440,Buster,532788,20,7,the best
441,Simba,690085,3,8,sweetheart
442,Boots,600325,1,3,lovely
443,Buster,722875,10,1,beautiful
444,Willow,712953,7,3,cute
445,Milo,672182,7,7,the best
446,Buster,649008,11,8,asshole
447,Milo,616040,4,7,fat
448,Sammy,487913,2,3,asshole
449,Nala,613683,17,4,sweetheart
450,Coco,599632,17,5,fat
451,Lucky,725775,14,4,work of art
452,Ginger,585998,22,1,fat
453,Rocky,746786,19,2,work of art
454,Sheba,514474,20,1,beautiful
455,Cookie,577736,1,6,sweetheart
456,Oreo,720837,22,1,sweetheart
457,Annie,606561,23,6,sweetheart
458,Tiger,690564,3,5,sweetheart
459,Zoey,740656,24,6,lovely
460,Bella,560489,1,6,the best
461,Ginger,590485,25,3,asshole
462,Misty,575525,1,6,asshole
463,Sasha,502046,6,6,fluffy
464,Kiki,606250,20,8,sweetheart
465,Misty,542107,21,2,asshole
466,Felix,725274,23,8,lovely
467,Milo,595080,13,8,work of art
468,Oliver,618339,19,9,fluffy
469,Toby,543056,25,9,fluffy
470,Cuddles,510853,24,5,sweetheart
471,Zoe,487573,20,9,sweetheart
472,Boo,544478,24,9,amazing
473,Whiskers,634732,1,8,asshole
474,Bailey,624243,1,6,beautiful
475,Toby,706535,8,1,cute
476,Oreo,718886,17,1,lovely
477,Baby,552892,7,4,the best
478,Abby,521945,4,5,amazing
479,Bella,714728,8,1,fat
480,Callie,475415,1,2,lovely
481,Gracie,670375,22,4,lovely
482,Spooky,700158,11,1,asshole
483,Socks,708520,5,8,lovely
484,Missy,678165,4,1,cute
485,Loki,504016,19,3,sweetheart
486,Nala,603171,19,9,asshole
487,Sugar,717656,15,5,lovely
488,Tiger,634615,5,4,the best
489,Buster,645069,16,6,asshole
490,Buster,728755,11,5,the best
491,Sassy,641250,22,4,asshole
492,Baby,522518,14,1,cute
493,Gizmo,476197,1,8,work of art
494,Rascal,525200,11,6,cute
495,Shadow,705366,3,7,beautiful
496,Patches,589742,22,5,the best
497,Nala,505404,20,3,sweetheart
498,Coco,487828,19,6,the best
499,Lola,596978,18,7,cute
500,Sheba,498229,4,9,asshole
501,Mittens,714908,6,4,sweetheart
502,Charlie,502992,9,5,work of art
503,Bella,561693,10,1,fat
504,Lola,508014,24,5,the best
505,Samantha,495265,17,5,work of art
506,Miss kitty,649718,21,9,beautiful
507,Chloe,563408,13,2,cute
508,Lily,742723,6,9,asshole
509,Cookie,578811,3,9,work of art
510,Snickers,528916,20,6,beautiful
511,Tigger,687032,7,1,the best
512,Missy,651482,14,9,the best
513,Felix,714342,21,1,fluffy
514,Lucky,567154,18,3,fluffy
515,Rocky,523141,11,2,fluffy
516,Lucky,671531,16,4,work of art
517,Sammy,549228,4,5,lovely
518,Casper,500922,1,1,asshole
519,Socks,545929,5,7,sweetheart
520,Luna,651511,17,1,asshole
521,Nala,621437,7,3,asshole
522,Muffin,568122,19,6,work of art
523,Chester,653470,19,2,amazing
524,Shadow,627208,15,1,amazing
525,Rascal,720499,24,8,the best
526,Cookie,649937,13,3,the best
527,Zoey,609105,20,9,beautiful
528,Jasper,595316,17,1,cute
529,Buddy,682162,19,2,sweetheart
530,Coco,731747,15,2,amazing
531,Socks,463700,20,2,fat
532,Zoey,731343,1,6,beautiful
533,Pumpkin,586099,9,6,fat
534,Lucky,470634,6,3,asshole
535,Coco,721479,10,9,work of art
536,Annie,470409,16,6,amazing
537,Luna,589786,9,9,the best
538,Cookie,710245,8,1,lovely
539,Willow,490080,22,9,amazing
540,Rascal,726491,13,7,asshole
541,Baby,476565,7,1,work of art
542,Misty,506712,18,4,asshole
543,Pumpkin,540766,12,1,the best
544,Molly,480976,14,9,work of art
545,Buster,682322,19,3,fat
546,Boots,738563,2,6,amazing
547,Miss kitty,624508,8,4,beautiful
548,Lucy,598357,21,7,asshole
549,Patches,552347,19,8,fat
550,Kitty,583474,9,3,lovely
551,Spooky,471946,2,3,asshole
552,Princess,614403,2,6,fat
553,Lily,731156,21,4,fat
554,Milo,673929,17,6,fat
555,Max,501752,2,7,beautiful
556,Sheba,608133,7,1,the best
557,Sammy,525838,8,1,beautiful
558,Sadie,557517,25,8,the best
559,Leo,617301,9,5,fat
560,Lola,563562,12,4,fluffy
561,Muffin,507822,13,3,amazing
562,Jasper,696638,16,4,fluffy
563,Lola,710114,21,5,fat
564,Charlie,723356,24,3,amazing
565,Bailey,546596,21,3,amazing
566,Zoey,647165,8,1,work of art
567,Sam,735189,12,2,fat
568,Molly,715462,25,3,sweetheart
569,Mimi,500774,21,5,the best
570,Sassy,466933,19,1,the best
571,Peanut,512930,17,4,fat
572,Lilly,577322,13,7,the best
573,Zoe,677319,19,5,amazing
574,Boots,646134,10,1,beautiful
575,Missy,615306,11,1,sweetheart
576,Willow,676296,5,3,the best
577,Felix,644684,10,6,cute
578,Nala,721317,4,6,fluffy
579,Peanut,559698,24,8,fat
580,Chloe,598958,23,3,sweetheart
581,George,516428,14,5,beautiful
582,Ginger,579885,12,7,lovely
583,Pepper,696142,1,1,beautiful
584,Bandit,565557,22,5,lovely
585,Pepper,743863,17,2,sweetheart
586,Pepper,528880,25,5,lovely
587,Simon,709053,11,8,lovely
588,Oreo,544665,2,4,cute
589,Toby,485053,9,3,sweetheart
590,Kitty,524684,2,1,beautiful
591,Sophie,719381,13,1,lovely
592,Chloe,495436,1,1,work of art
593,Bandit,552395,3,7,amazing
594,Sugar,515043,9,5,asshole
595,Bandit,506107,24,7,fluffy
596,Harley,493488,2,3,work of art
597,Misty,526809,22,1,fluffy
598,Angel,501085,1,1,asshole
599,Missy,509807,23,8,cute
600,Mittens,649093,7,5,the best
601,Pumpkin,708710,2,6,cute
602,Annie,582707,22,1,sweetheart
603,Tinkerbell,637685,16,2,beautiful
604,Nala,716023,23,9,asshole
605,Spooky,724719,18,5,sweetheart
606,Socks,719281,19,6,fluffy
607,Rocky,527933,2,3,asshole
608,Kitty,643114,12,2,cute
609,Leo,674019,9,6,fluffy
610,Sassy,500876,5,8,lovely
611,Simon,551528,18,8,beautiful
612,Gracie,515139,23,1,sweetheart
613,Sam,463681,18,6,cute
614,Zoe,583424,16,8,fat
615,Midnight,718230,9,9,fat
616,Zoey,740108,16,4,sweetheart
617,Molly,623220,1,5,fat
618,Smokey,593907,14,7,amazing
619,Scooter,732809,12,8,fat
620,Samantha,658686,12,6,beautiful
621,Rocky,685558,11,4,beautiful
622,Willow,718368,2,1,fluffy
623,Daisy,718168,20,4,fat
624,Tigger,525613,11,6,amazing
625,Mia,651154,5,1,lovely
626,Sam,513143,14,2,sweetheart
627,Cuddles,492765,9,9,fluffy
628,Oscar,464028,12,3,beautiful
629,Callie,493912,17,8,asshole
630,Sasha,474511,5,3,sweetheart
631,Muffin,587169,24,7,lovely
632,Bella,747682,16,5,lovely
633,Precious,503122,11,8,fluffy
634,Mimi,706499,11,3,sweetheart
635,Muffin,574377,12,2,cute
636,Midnight,580833,7,5,lovely
637,Toby,590053,13,2,lovely
638,Annie,717405,20,6,work of art
639,Tinkerbell,563410,19,7,beautiful
640,Tiger,670536,6,8,cute
641,Shadow,657652,16,9,beautiful
642,Gizmo,624008,2,2,sweetheart
643,Tiger,637459,24,2,cute
644,Felix,742674,6,1,cute
645,Midnight,518974,4,1,fluffy
646,Snowball,472200,19,1,work of art
647,Simba,739513,15,7,cute
